brand_id,domain,candidate_page_url,link_text,asset_url,asset_type,confidence,notes
steam,steampowered.com,https://steampowered.com/about,"Steam Workshop Create, discover, and download player-created mods and cosmetics for nearly 1,000 supported games. Learn More",https://steamcommunity.com/workshop,unknown,low,matched keyword: download
roblox,roblox.com,https://roblox.com/newsroom,Press Kit,https://roblox.com/press-kit,press,low,matched keyword: press kit
roblox,roblox.com,https://roblox.com/newsroom,Press Kit,https://roblox.com/press-kit,press,low,matched keyword: press kit
roblox,roblox.com,https://roblox.com/about,Press Kit,https://roblox.com/press-kit,press,low,matched keyword: press kit
roblox,roblox.com,https://roblox.com/about,Press Kit,https://roblox.com/press-kit,press,low,matched keyword: press kit
tmall,tmall.com,https://tmall.com/brand,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/brands,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/press,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/media,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/newsroom,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/about,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/assets,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/brand-assets,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/media-kit,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/press-kit,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
tmall,tmall.com,https://tmall.com/brand-guidelines,手机版,https://pages.tmall.com/wow/portal/act/app-download?scm=1027.1.1.1,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brand,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brand,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brands,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brands,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/press,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/press,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/media,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/media,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/newsroom,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/newsroom,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/about,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/about,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/assets,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/assets,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brand-assets,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brand-assets,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/media-kit,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/media-kit,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/press-kit,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/press-kit,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brand-guidelines,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
pinduoduo,pinduoduo.com,https://pinduoduo.com/brand-guidelines,,https://pinduoduo.com/home/download/,unknown,low,matched keyword: download
paypal,paypal.com,https://paypal.com/brand,PayPal logo,https://paypal.com/us/home?locale.x=en_US,logo,medium,matched keyword: logo
hsbc,hsbc.com,https://hsbc.com/media,HSBC and Digital Assets and Currencies,https://hsbc.com/who-we-are/hsbc-and-digital/hsbc-and-digital-assets-and-currencies,unknown,low,matched keyword: assets
deutsche_bank,db.com,https://db.com/media,"Latest from Deutsche Bank Research: breadth, depth and originality Research",https://www.dbresearch.com/PROD/RPS_EN-PROD/Global_Search_and_download_of_all_publications_studies_analysis_and_reports/HIDDEN_GLOBAL_SEARCH.alias,unknown,low,matched keyword: download
deutsche_bank,db.com,https://db.com/media,"Latest from Deutsche Bank Research: breadth, depth and originality Latest from Deutsche Bank Research",https://www.dbresearch.com/PROD/RPS_EN-PROD/Global_Search_and_download_of_all_publications_studies_analysis_and_reports/HIDDEN_GLOBAL_SEARCH.alias,unknown,low,matched keyword: download
deutsche_bank,db.com,https://db.com/newsroom,"Latest from Deutsche Bank Research: breadth, depth and originality Research",https://www.dbresearch.com/PROD/RPS_EN-PROD/Global_Search_and_download_of_all_publications_studies_analysis_and_reports/HIDDEN_GLOBAL_SEARCH.alias,unknown,low,matched keyword: download
deutsche_bank,db.com,https://db.com/newsroom,"Latest from Deutsche Bank Research: breadth, depth and originality Latest from Deutsche Bank Research",https://www.dbresearch.com/PROD/RPS_EN-PROD/Global_Search_and_download_of_all_publications_studies_analysis_and_reports/HIDDEN_GLOBAL_SEARCH.alias,unknown,low,matched keyword: download
emirates,emirates.com,https://emirates.com/press,Download reports,https://www.emirates.com/english/about-us/financial-transparency/annual-reports/,unknown,low,matched keyword: download
emirates,emirates.com,https://emirates.com/newsroom,Download reports,https://www.emirates.com/english/about-us/financial-transparency/annual-reports/,unknown,low,matched keyword: download
red_cross,redcross.org,https://redcross.org/brand,download the Brand identification poster,https://redcross.org/content/dam/redcross/enterprise-assets/pdfs/American-Red-Cross-Brand-Identity-Poster.pdf,brand-assets,low,matched keyword: assets
red_cross,redcross.org,https://redcross.org/brand,Learn more about the Red Cross emblem here,https://redcross.org/content/dam/redcross/enterprise-assets/pdfs/American-Red-Cross-Trademarks-Flyer.pdf,unknown,low,matched keyword: assets
red_cross,redcross.org,https://redcross.org/brand,go to the logo form,https://redcross.org/lp/brand-standards/brand-request-form.html,brand-assets,medium,matched keyword: logo
